Id,Area,Address,Studio,Zone,Inside_M30,Rent,Bedrooms,Sq. Mt.,Floor,Outer,Elevator,Penthouse,Cottage,Duplex,Semi-detached,Region
1,ciudad lineal,Piso en Quintana,0,Quintana,0,1300,2,72,3,1,1,0,0,0,0,East
2,ciudad lineal,Piso en calle de Arturo Soria,0,Costillares,0,3000,5,260,2,1,1,0,0,0,0,East
3,ciudad lineal,Piso en calle de Vicente Muzas,0,Colina,0,1300,2,100,3,1,1,0,0,0,0,East
4,ciudad lineal,Piso en calle Badajoz,0,San Pascual,0,1600,3,120,4,1,1,0,0,0,0,East
5,ciudad lineal,Piso en calle de Nuestra Se–ora del Villar,0,Ventas,0,800,2,60,3,1,0,0,0,0,0,East
6,ciudad lineal,çÅtico en calle Jos_ Silva,0,San Juan Bautista,0,1850,3,101,5,1,1,1,0,0,0,East
7,ciudad lineal,Piso en Virgen de Lourdes,0,Concepci—n,0,850,1,60,3,1,1,0,0,0,0,East
8,ciudad lineal,Piso en calle de Arturo Soria,0,Costillares,0,1700,4,160,2,1,1,0,0,0,0,East
9,ciudad lineal,Piso en calle Jazm’n,0,Costillares,0,850,1,52,1,1,1,0,0,0,0,East
10,ciudad lineal,Piso en general aranaz,0,Concepci—n,0,1900,3,190,1,1,1,0,0,0,0,East
11,ciudad lineal,Dœplex en calle Rafael Bergam’n,0,San Juan Bautista,0,2100,3,150,13,1,1,0,0,1,0,East
12,ciudad lineal,Estudio en Costillares,1,Costillares,0,780,0,40,2,0,1,0,0,0,0,East
13,ciudad lineal,Piso en calle Virgen de los Reyes,0,Concepci—n,0,1300,3,90,1,1,1,0,0,0,0,East
14,ciudad lineal,Dœplex en calle Diego Ayll—n,0,San Juan Bautista,0,3200,5,280,3,1,1,0,0,1,0,East
15,ciudad lineal,Piso en calle de Arturo Soria,0,San Pascual,0,1700,3,130,1,1,1,0,0,0,0,East
16,ciudad lineal,çÅtico en calle natalia de silva,0,Concepci—n,0,990,2,70,3,1,1,1,0,0,0,East
17,ciudad lineal,Piso en calle miguel de la iglesia,0,Concepci—n,0,1070,2,80,1,1,1,0,0,0,0,East
18,ciudad lineal,Piso en calle miguel de la iglesia,0,Concepci—n,0,870,2,63,2,1,1,0,0,0,0,East
19,ciudad lineal,Piso en calle miguel de la iglesia,0,Concepci—n,0,870,3,63,3,1,1,0,0,0,0,East
20,ciudad lineal,Piso en Ventas,0,Ventas,0,830,1,60,3,1,1,0,0,0,0,East
21,ciudad lineal,Piso en calle Caribe,0,San Pascual,0,2500,3,195,3,1,1,0,0,0,0,East
22,ciudad lineal,Dœplex en Angelita Cavero,0,San Pascual,0,2200,2,200,3,1,1,0,0,1,0,East
23,ciudad lineal,Piso en Virgen de los reyes,0,Concepci—n,0,1300,3,100,1,1,1,0,0,0,0,East
24,ciudad lineal,Piso en calle Emilio Ferrari,0,Pueblo Nuevo,0,800,3,72,4,1,1,0,0,0,0,East
25,ciudad lineal,çÅtico en calle jos_ silva,0,San Juan Bautista,0,1650,3,101,5,1,1,1,0,0,0,East
26,ciudad lineal,Dœplex en calle Trit—n,0,Colina,0,2500,5,200,0,1,1,0,0,1,0,East
27,ciudad lineal,Piso en calle de Carlota O‰ÛªNeill,0,San Pascual,0,1100,1,45,4,1,1,0,0,0,0,East
28,ciudad lineal,Piso en calle de manipa,0,Concepci—n,0,790,2,63,2,1,0,0,0,0,0,East
29,ciudad lineal,Piso en calle de arturo soria,0,San Juan Bautista,0,1450,2,87,3,1,1,0,0,0,0,East
30,ciudad lineal,Piso en calle Virgen de Lourdes,0,Concepci—n,0,850,1,60,3,1,1,0,0,0,0,East
31,ciudad lineal,Piso en calle de luis carlos v‡zquez,0,San Juan Bautista,0,2000,3,164,2,1,1,0,0,0,0,East
32,ciudad lineal,Piso en calle piquer,0,Atalaya,0,2800,4,200,4,1,1,0,0,0,0,East
33,ciudad lineal,Piso en A–astro,0,Atalaya,0,3200,5,215,2,1,1,0,0,0,0,East
34,ciudad lineal,Piso en calle de Caleruega,0,Costillares,0,1250,2,91,4,1,1,0,0,0,0,East
35,ciudad lineal,Piso en calle de los Hermanos Garc’a Noblejas,0,Pueblo Nuevo,0,1100,3,100,1,1,1,0,0,0,0,East
36,ciudad lineal,Piso en Arturo Soria,0,Concepci—n,0,1200,2,70,3,1,1,0,0,0,0,East
37,ciudad lineal,Piso en emilio ferrari,0,Pueblo Nuevo,0,850,3,75,4,1,1,0,0,0,0,East
38,ciudad lineal,Dœplex en calle Baus‡,0,Costillares,0,950,1,57,5,1,1,0,0,1,0,East
39,ciudad lineal,çÅtico en calle vicente muzas,0,Colina,0,800,2,70,5,1,1,1,0,0,0,East
